No,pkg_name,Result,Is LLM?,feature,Link,,,,,,
1,com.amech.hunting.jungle.animals,AI Only,FALSE,"NO LLM, ONLY AI GAME BOT",,XUÂN HẠ,1. Lên sheet này: https://docs.google.com/spreadsheets/d/1Lsx8c4cSqMKhG0gkJt9N69Im-kM-AluY/edit?usp=sharing&ouid=116978745757587365105&rtpof=true&sd=true,,,,
2,com.CallRecord,Not found,FALSE,App lỏ sài không được,,,2. Vào trong đó sẽ thấy cột pkg_name,,,,
3,com.goru.aiphotoenhancer,Can't download,FALSE,,,,3. Vào thay pkg_name đó vào link https://play.google.com/store/apps/details?id=[pkg_name]. Ví dụ https://play.google.com/store/apps/details?id=com.amech.hunting.jungle.animals,,,,
4,com.adobe.spark.post,Found,TRUE,IMAGE MODIFICATION AND IMAGE GENERATOR,,,4. Down app đó về xong xài nhen,,,,
5,com.aspiration.postermaker.editor,Not found,FALSE,Không mua dc bản pro,,,"5. Xem app đó có LLM không? Phải là LLM nha, AI thôi thì cột ""Is LLM"" là FALSE, nếu có LLM thì TRUE, và ghi feature của LLM đó ra ở cột kế bên",,,,
6,com.businessmarketing,Not found,FALSE,Không mua dc bản pro,,,"6. Sau đó chụp hình, up onedrive dùm anh nhen: https://1drv.ms/f/c/5fa1cb2377a2d0d7/IgCaZQWM5xVkTYqDgnZ3hV8OAZGPAhIDVUUM1POmMGDgy5Y?e=9k6IJk",,,,
7,com.delgeo.desygner,Found,TRUE,"Image generator, có ghi là bản Pro được tính năng của chatGPT",,,"7. Mỗi hình á theo cú pháp đặt tên là STT, ví dụ 01.png/01.jpg. Xong r copy link của hình đưa vào trong sheet link giúp a nha",,,,
8,com.skysoft.removalfree,Not found,FALSE,NO LLM,,,Mỗi người 20 app là đẹp,,,,","
9,com.socialmedia.socialmediapostmaker,Can't download,FALSE,,,,,,,,
10,rs.ignite.paintation,Not found,FALSE,NO LLM,,,,,,,
11,toon.photo.cartoon.editor,Not found,FALSE,NO LLM,,TIẾN ĐẠT,,,,,
12,com.johnboysoftware.jbv1,Not found,FALSE,"NO LLM, NO AI",,,,,,,
13,com.navmii.android.dashcam,Not found,FALSE,NO LLM,,,,,,,
14,com.seeworld.gljdw,Not found,FALSE,"NO LLM, NO AI",,,,,,,
52,info.hasanaga.azerus,Not found,FALSE,NO LLM,,,,,,,
53,net.fileden.dictionary,Not found,FALSE,NO LLM,,,,,,,
54,ua.mybible,Not found,FALSE,NO LLM,,,,,,,
55,world.country.guide.oz,Can't download,FALSE,Ứng dụng có trả phí,,,,,,,
56,com.accela.pma,Not found,FALSE,NO LLM,,,,,,,
57,com.adecco.app20,Can't download,FALSE,Không tải được ở Việt Nam,,,,,,,
58,com.airgms.mobile,Not found,FALSE,,,,,,,,
#REF!,com.autoroutesante.iCyclop,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.bmc.selfservice.mobile,Can't download,FALSE,Cần có tài khoản để đăng nhập,,,,,,,
#REF!,com.bpmobile.iscanner.free,Found,TRUE,"AI Summarize, text generation, simplify sentences",62.jpg,,,,,,
#REF!,com.companyname.Unimovil,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.deltatechnepal.delta_sales_app,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.digistore24.reports,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.fareclock.tc,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.flick2know.gt,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.getjobber.jobber,Found,TRUE,AI chatbot for questions and company direction guidances,,,,,,,
#REF!,com.gigsmart.requester,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.hirist.jobseeker,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.icapture.powerscan,Can't download,FALSE,"Cannot install, install code required",,PHÁT LỘC,,,,,
#REF!,com.intellifluence.intellifluence,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.ionicframework.snapaddybusinesscards938320,Not found,FALSE,NO LLM,,,,,,,
